project_id,freelancer_id,client_id,category,budget_usd,status,start_date,deadline,duration_days,bids_received,remote,project_complexity
PR000288,FL00305,CL00987,,4870,completed,2023-07-10,2023-10-11,142,16,Yes,low
PR000289,FL00038,CL00912,Design,4611,completed,2020-04-08,2020-08-06,47,13,True,High
PR000290,FL00231,CL00924,AI/ML,3346,cancelled,2020-02-27,2020-03-09,40,41,No,low
PR000291,FL00033,CL00159,SEO,407,completed,2021-03-01,2021-06-23,101,28,true,Medium
PR000292,FL00267,CL00411,Data Science,2015,,2020-10-06,2020-10-15,178,27,0,Low
PR000293,FL00219,CL00285,Data Science,2945,completed,2021-05-25,2021-09-04,125,1,true,Low
PR000294,FL00152,CL00735,SEO,4863,disputed,2024-04-27,2024-05-06,67,34,False,low
PR000295,FL00354,CL00616,SEO,2233,in_progress,2020-08-04,2020-10-29,174,9,False,Medium
PR000296,FL00307,CL00547,Web Development,4891,disputed,2021-12-03,2022-01-28,20,6,False,Low
PR000297,FL00235,CL00761,DevOps,2939,disputed,,2023-04-07,10,14,0,Low
PR000298,FL00318,CL00919,AI/ML,3007,completed,2023-05-10,2023-06-26,117,1,1,Medium
PR000299,FL00193,CL00392,Data Science,2725,disputed,2021-06-17,2021-09-07,78,1,No,medium
PR000300,FL00473,CL00629,Marketing,293597,completed,2020-12-06,2020-12-14,66,11,false,Medium
PR000301,FL00307,CL00814,Marketing,2295,COMPLETED,2022-07-15,2022-09-23,155,41,true,Medium
PR000302,FL00060,CL00324,Mobile App,3462,completed,2020-03-27,2020-04-22,160,42,true,Low
PR000303,FL00039,CL00100,Marketing,4313,completed,,2023-11-16,58,10,False,Medium
PR000304,FL00049,CL00905,Data Science,3148,disputed,2021-08-29,2021-11-09,27,7,1,medium
PR000305,FL00200,CL00182,Writing,1194,disputed,2020-01-02,2020-01-14,100,18,Yes,high
PR000306,FL00382,CL00626,Mobile App,1159,completed,,2021-11-28,42,34,False,High
PR000307,FL00481,CL00630,DevOps,4755,disputed,2020-08-17,2020-09-04,42,12,True,Low
PR000308,,CL00959,Video,1477,disputed,2020-01-05,2020-01-19,46,33,True,High
PR000309,FL00083,CL00064,Video,1500,disputed,2024-05-13,2024-07-31,143,13,Yes,high
PR000310,FL00492,CL00651,Design,4062,in_progress,2024-03-09,2024-03-26,112,,False,Medium
PR000311,FL00259,CL00554,Data Science,1948,disputed,2023-05-31,2023-06-26,84,,No,low
PR000312,FL00334,CL00957,Web Development,3132,cancelled,2020-12-08,2020-12-15,105,32,0,medium
PR000313,FL00437,CL00183,DevOps,4532$,disputed,2021-09-04,2021-10-25,137,10,0,medium
PR000314,FL00071,CL00976,Marketing,2623,cancelled,,2023-01-25,35,,1,high
PR000315,FL00392,CL00634,AI/ML,,completed,2020-05-08,2020-08-20,176,36,1,Low
PR000316,FL00100,CL00860,AI/ML,2576,completed,2022-04-21,2022-06-26,150,16,True,medium
PR000317,FL00328,CL00033,DevOps,181,completed,2020-12-16,2021-01-07,46,16,False,
PR000318,FL00450,CL00683,DevOps,1656,disputed,2020-03-25,2020-05-13,107,,No,High
PR000319,FL00025,CL00105,Web Development,2925,,2022-03-10,2022-06-22,143,36,No,medium
PR000320,FL00460,CL00739,Writing,4765,completed,2022-10-26,TBD,162,27,False,Low
PR000321,FL00471,CL00403,Writing,2164,completed,2023-05-16,2023-08-07,10,8,0,medium
PR000322,FL00447,CL00624,,3585,completed,2021-01-12,2021-05-08,100,18,0,High
PR000323,FL00308,CL00501,Video,889,completed,2022-12-30,2023-02-03,,15,true,Low
PR000324,FL00035,CL00791,SEO,1272,disputed,2022-08-06,2022-10-15,47,19,0,Medium
PR000325,FL00161,CL00460,Mobile App,4215,completed,2022-09-28,2022-11-21,79,14,false,High
PR000326,FL00153,CL00308,SEO,2523,completed,2022-08-02,TBD,60,,false,Low
PR000327,FL00216,CL00534,Mobile App,662,disputed,2021-02-15,2021-03-24,18,11,No,
PR000328,FL00424,CL00456,DevOps,2688,disputed,2020-05-08,2020-06-24,13,36,0,low
PR000329,FL00097,CL00761,Writing,3225,in_progress,2020-06-28,2020-10-07,151,16,Yes,High
PR000330,,CL00050,Web Development,4811,cancelled,2020-02-29,2020-06-03,42,5,Yes,high
PR000331,FL00464,CL00796,Writing,2515,in_progress,2021-07-21,2021-10-30,95,31,0,medium
PR000332,FL00266,CL00598,Mobile App,520,completed,2020-10-20,2020-11-05,49,28,No,Low
PR000333,FL00385,CL00949,AI/ML,2251,completed,2020-07-21,2020-11-06,,33,Yes,medium
PR000334,FL00042,CL00345,AI/ML,,cancelled,2020-06-12,2020-07-24,43,28,True,High
PR000335,FL00287,CL00092,Video,4893,,2021-03-28,,172,8,True,high
PR000336,FL00063,CL00546,AI/ML,4888,completed,2020-01-22,2020-02-29,,33,False,medium
PR000337,FL00022,CL00411,Writing,1211,completed,2021-03-10,2021-06-16,21,22,Yes,medium
PR000338,FL00181,CL00330,Design,594,disputed,2020-01-15,2020-04-11,167,24,false,medium
PR000339,FL00096,CL00980,Marketing,1047$,completed,2022-02-16,2022-04-01,140,41,True,High
PR000340,FL00152,CL00700,Data Science,3194$,completed,2021-06-09,2021-06-24,138,40,Yes,
PR000341,FL00192,CL00220,,400894,cancelled,2023-01-24,2023-01-31,174,7,false,medium
PR000342,FL00109,CL00712,Web Development,4811,completed,,2022-07-15,72,32,1,High
PR000343,FL00180,CL00140,Mobile App,2042,completed,2023-01-06,2023-04-18,31,24,1,high
PR000344,FL00018,CL00067,Design,1806,cancelled,2022-10-28,2023-02-09,73,,1,Low
PR000345,FL00005,CL00895,AI/ML,109096$,completed,2021-01-30,2021-04-12,18,10,false,Low
PR000346,FL00371,CL00021,Marketing,1197,completed,2021-07-03,2021-10-15,62,41,No,high
PR000347,FL00051,CL00754,Data Science,2369,cancelled,2022-08-11,2022-08-21,127,9,True,High
PR000348,FL00356,CL00037,Design,916,completed,2022-12-28,2023-04-20,178,3,true,
PR000349,FL00172,CL00202,Design,,disputed,2020-10-04,2020-10-19,35,36,True,low
PR000350,FL00237,CL00112,Mobile App,383,disputed,2022-07-13,2022-08-10,,16,1,high
PR000351,FL00058,CL00466,SEO,1469,cancelled,2020-05-20,2020-07-26,34,9,Yes,Low
PR000352,FL00093,CL00681,Design,2310,completed,2020-10-17,2021-01-25,54,26,0,High
PR000353,FL00473,CL00738,Data Science,746,disputed,2022-08-11,2022-11-03,,6,False,High
PR000354,FL00275,CL00776,AI/ML,844,completed,2022-05-30,2022-08-14,132,8,Yes,Low
PR000355,FL00257,CL00449,DevOps,3837,completed,2020-02-18,2020-04-30,22,2,false,low
PR000356,FL00374,CL00448,Data Science,,completed,2021-07-24,2021-10-08,48,0,true,Medium
PR000357,FL00252,CL00224,,3043$,completed,2020-01-04,2020-05-02,152,,False,Low
PR000358,FL00208,CL00643,Web Development,498724,completed,2022-02-26,2022-05-16,148,45,Yes,Low
PR000359,FL00376,CL00398,Marketing,773,cancelled,2022-05-20,2022-07-27,31,15,False,Low
PR000360,FL00044,CL00514,Marketing,4648,,2022-01-26,2022-05-01,18,20,1,low
PR000361,FL00229,CL00912,Marketing,4808,cancelled,2023-05-08,2023-06-16,5,45,False,high
PR000362,FL00472,CL00002,Data Science,4305,in_progress,2023-05-06,2023-08-19,35,22,false,low
PR000363,FL00487,CL00635,Design,3822,completed,2020-01-18,2020-03-02,161,40,0,
PR000364,FL00341,CL00057,Video,359,completed,2022-08-09,2022-11-01,45,8,Yes,Low
PR000365,,CL00754,Web Development,2266,cancelled,2024-01-04,2024-02-27,12,19,true,low
PR000366,FL00113,CL00008,Writing,306,completed,2023-06-27,2023-07-15,90,26,Yes,medium
PR000367,FL00482,CL00004,Marketing,1133,in_progress,2023-09-30,2023-10-30,34,4,No,low
PR000368,FL00227,CL00083,DevOps,2308,cancelled,2021-08-23,2021-10-29,129,19,true,Medium
PR000369,FL00140,CL00388,Design,2616,disputed,2022-05-08,2022-09-04,42,36,True,low
PR000370,FL00142,CL00505,Writing,820,completed,2020-07-26,2020-10-26,87,18,true,high
PR000371,FL00265,CL00887,Writing,3538,cancelled,2020-02-17,2020-04-15,51,17,true,Medium
PR000372,FL00061,CL00509,Video,4424,in_progress,2020-01-09,2020-04-30,52,28,True,Low
PR000373,FL00142,CL00110,Web Development,1819,completed,2022-08-30,2022-12-19,162,9,0,high
PR000374,FL00385,CL00652,Web Development,2216,completed,2023-04-06,2023-07-04,87,45,No,Medium
PR000375,FL00347,CL00779,SEO,128,in_progress,2020-10-08,2021-01-22,121,9,false,high
PR000376,FL00389,CL00549,AI/ML,3247,completed,2022-09-12,,74,43,0,High
PR000377,FL00497,CL00199,DevOps,138980,disputed,2021-06-10,,99,24,No,High
PR000378,FL00242,CL00635,Web Development,3724,disputed,2023-10-30,2023-12-21,,7,1,Medium
PR000379,FL00003,CL00978,SEO,1882,completed,2022-01-15,2022-01-27,138,36,1,medium
PR000380,FL00013,CL00077,Web Development,977,disputed,2022-05-20,2022-08-11,141,44,false,Medium
PR000381,FL00480,CL00334,,2006,completed,2023-01-31,2023-02-18,150,7,false,medium
PR000382,FL00382,CL00138,Mobile App,725,in_progress,2022-10-06,2022-11-24,12,38,false,high
PR000383,FL00079,CL00792,Writing,3664,,2022-01-27,2022-05-12,93,16,No,medium
PR000384,FL00386,CL00234,Design,601,completed,2020-07-19,2020-09-26,172,3,true,High
PR000385,FL00385,CL00854,Video,3399$,,2022-07-12,2022-08-11,123,45,0,Medium
PR000386,FL00496,CL00542,Video,1233,completed,2023-05-21,2023-06-13,134,37,true,Low
PR000387,,CL00538,Marketing,2227,completed,2021-12-11,2022-03-28,116,16,0,Medium
PR000388,FL00378,CL00475,Marketing,573,disputed,2022-08-28,TBD,135,11,Yes,high
PR000389,FL00234,CL00109,Design,1542,completed,2023-08-10,2023-09-04,,18,0,Low
PR000390,FL00429,CL00107,DevOps,,completed,2020-03-07,2020-04-30,146,0,1,Medium
PR000391,FL00138,CL00462,SEO,,in_progress,2023-01-23,2023-02-02,11,,True,High
PR000392,FL00107,CL00230,Data Science,3858,completed,2021-06-03,2021-07-15,139,,Yes,High
PR000393,FL00081,CL00756,Marketing,4605,completed,2020-08-10,2020-11-14,31,14,True,High
PR000394,FL00289,CL00340,Video,3626,disputed,2022-05-09,2022-07-12,161,1,True,medium
PR000395,FL00223,CL00867,Writing,3529,disputed,2022-10-11,2022-12-03,12,4,1,Medium
PR000396,FL00144,CL00357,Writing,383,cancelled,2021-04-06,2021-05-05,167,22,True,Low
PR000397,FL00374,CL00232,Design,2423,completed,2024-01-10,2024-04-13,63,10,false,low
PR000398,FL00304,CL00552,Video,4502,completed,2021-12-11,2022-02-28,114,38,true,Low
PR000399,FL00125,CL00285,SEO,716,in_progress,2022-07-30,2022-09-14,88,6,true,low
PR000400,FL00360,CL00434,Design,3150,completed,2024-01-19,2024-03-17,37,39,No,
PR000401,FL00293,CL00063,AI/ML,4466,completed,2021-10-07,2022-02-02,36,40,false,high
PR000402,FL00265,CL00620,SEO,4943,in_progress,2023-07-30,2023-08-23,66,43,False,medium
PR000403,FL00475,CL00650,Web Development,4546,in_progress,2022-10-05,2022-10-17,25,39,true,High
PR000404,FL00278,CL00805,Writing,2352,completed,2022-11-30,2023-01-18,123,,1,low
PR000405,FL00338,CL00896,AI/ML,3068,completed,2021-03-19,,28,22,Yes,Medium
PR000406,FL00154,CL00185,SEO,3468,completed,2023-04-21,2023-08-03,,0,Yes,low
PR000407,FL00356,CL00914,SEO,264910,in_progress,2020-01-01,2020-02-10,5,39,False,medium
PR000408,FL00190,CL00096,Design,1555,COMPLETED,2020-11-24,2021-01-08,125,20,Yes,Low
PR000409,FL00384,CL00289,Video,549,IN_PROGRESS,2022-06-11,2022-10-07,24,27,false,high
PR000410,FL00445,CL00290,Design,1039,completed,2023-08-09,2023-11-25,30,12,No,low
PR000411,FL00199,CL00810,DevOps,3542,completed,2022-05-14,2022-09-07,88,35,False,low
PR000412,FL00290,CL00456,Design,1597,completed,2020-12-11,2021-01-23,129,36,True,Medium
PR000413,FL00151,CL00582,DevOps,1946,in_progress,2024-04-07,2024-05-01,1,14,0,high
PR000414,FL00247,CL00605,Writing,,disputed,2021-07-24,2021-08-30,126,40,False,High
PR000415,FL00259,CL00085,DevOps,1838,in_progress,2020-04-14,2020-06-10,174,14,False,High
PR000416,,CL00062,Mobile App,4339,disputed,2023-06-01,2023-08-20,117,35,1,Medium
PR000417,FL00386,CL00937,Video,69139,completed,2023-12-16,TBD,104,7,true,Medium
PR000418,FL00216,CL00630,,3994,cancelled,2023-08-08,2023-09-19,12,13,false,High
PR000419,FL00087,CL00323,DevOps,4226,in_progress,2022-03-29,2022-04-08,,41,Yes,high
PR000420,FL00280,CL00860,Video,3727,completed,2022-04-13,TBD,50,37,False,high
PR000421,FL00418,CL00331,DevOps,4118,completed,2023-02-24,2023-03-22,79,10,1,
PR000422,FL00368,CL00335,AI/ML,2020,COMPLETED,2023-10-13,2024-01-26,7,38,0,medium
PR000423,FL00002,CL00525,Marketing,4445,completed,2021-07-10,2021-08-15,20,34,No,medium
PR000424,FL00003,CL00905,Video,2320,disputed,2021-03-30,2021-07-01,149,42,False,
PR000425,FL00482,CL00423,SEO,1037$,in_progress,2020-04-21,2020-07-13,17,25,true,medium
PR000426,FL00282,CL00031,Data Science,2524$,completed,2022-12-14,2023-01-31,120,5,True,low
PR000427,FL00351,CL00402,Mobile App,3252,completed,2020-12-17,2021-04-05,45,26,1,High
PR000428,FL00167,CL00697,AI/ML,,disputed,2021-06-02,2021-07-21,77,23,True,medium
PR000429,FL00475,CL00932,Data Science,3856,completed,2021-05-24,2021-06-01,34,18,0,Medium
PR000430,FL00457,CL00514,Writing,3007,completed,2023-12-01,TBD,63,44,true,Low
PR000431,FL00368,CL00730,AI/ML,4182,completed,2022-11-26,2023-01-19,160,26,False,Medium
PR000432,FL00159,CL00191,AI/ML,1526,completed,,2024-03-25,117,36,true,Medium
PR000433,FL00194,CL00752,AI/ML,1364,cancelled,2024-02-18,2024-05-12,116,23,Yes,Low
PR000434,FL00127,CL00098,Writing,500,cancelled,2021-05-30,,2,18,No,low
PR000435,FL00316,CL00035,Mobile App,2598,disputed,2023-08-28,2023-11-27,39,34,True,medium
PR000436,FL00223,CL00963,Marketing,,completed,2020-11-23,2021-03-05,,31,Yes,medium
PR000437,FL00053,CL00583,AI/ML,4676,cancelled,2022-03-31,2022-04-23,34,5,0,Medium
PR000438,FL00002,CL00492,SEO,3450,completed,2022-12-13,TBD,64,19,False,high
PR000439,FL00116,CL00100,,4049,disputed,2023-06-21,2023-08-07,23,42,True,Medium
PR000440,FL00427,CL00529,AI/ML,4882,cancelled,2024-01-19,2024-02-04,115,,1,low
PR000441,FL00228,CL00907,,1154,completed,2021-10-07,,177,22,false,high
PR000442,FL00276,CL00038,AI/ML,2295,completed,2022-02-24,2022-03-27,25,28,Yes,high
PR000443,FL00309,CL00052,Mobile App,484,disputed,2022-10-04,2023-01-24,5,15,true,Medium
PR000444,FL00277,CL00963,Web Development,4921$,in_progress,2022-03-17,2022-06-30,178,42,True,Medium
PR000445,FL00081,CL00615,AI/ML,841,in_progress,2021-08-01,2021-11-04,77,1,True,low
PR000446,FL00259,CL00733,AI/ML,448,cancelled,2020-12-10,2020-12-22,21,43,true,low
PR000447,FL00050,CL00820,Marketing,4634,completed,2023-02-22,2023-03-07,41,20,No,
PR000448,FL00245,CL00809,Writing,2381,completed,2022-09-10,2022-12-18,75,4,0,high
PR000449,FL00140,CL00185,Video,4080,in_progress,2022-04-15,2022-05-08,137,8,No,Low
PR000450,FL00199,CL00406,DevOps,2808,completed,2022-03-16,2022-04-22,3,37,false,
PR000451,FL00061,CL00024,Data Science,2043,disputed,2020-02-29,2020-03-25,60,36,true,
PR000452,FL00320,CL00957,DevOps,1189,in_progress,2021-12-15,2022-04-05,155,18,false,medium
PR000453,FL00286,CL00645,Web Development,1089,disputed,2023-01-27,2023-04-20,153,23,No,medium
PR000454,FL00162,CL00143,Video,2022,in_progress,2020-07-29,2020-11-16,5,22,False,High
PR000455,FL00014,CL00696,Mobile App,1730,disputed,2020-01-09,2020-01-24,96,16,false,Medium
PR000456,FL00158,CL00375,SEO,563,disputed,2022-02-07,2022-03-19,147,5,Yes,low
PR000457,FL00480,CL00907,Writing,3414,cancelled,2021-03-15,2021-05-15,2,29,true,Medium
PR000458,FL00356,CL00826,SEO,826,cancelled,2021-06-27,2021-08-04,177,44,true,Medium
PR000459,FL00441,CL00782,Video,427,completed,2023-02-22,2023-03-18,113,15,true,Medium
PR000460,FL00445,CL00590,Marketing,,completed,2021-05-03,2021-08-05,36,19,False,medium
PR000461,FL00077,CL00087,AI/ML,402671,in_progress,2021-11-09,2022-02-28,156,12,false,
PR000462,FL00367,CL00777,Video,2114,completed,2023-10-11,2023-11-06,107,32,True,low
PR000463,FL00153,CL00054,SEO,470822,in_progress,2020-01-08,2020-02-10,10,45,True,Medium
PR000464,FL00139,CL00172,Web Development,3658,in_progress,2024-05-19,2024-08-31,63,12,0,high
PR000465,FL00415,CL00459,Video,2249,in_progress,2024-02-01,2024-02-17,174,36,1,medium
PR000466,FL00132,CL00911,AI/ML,4245,in_progress,2020-03-11,2020-06-01,112,8,false,medium
PR000467,FL00196,CL00902,Mobile App,1385,disputed,2023-01-27,2023-04-18,,4,No,low
PR000468,FL00471,CL00962,Data Science,1681,cancelled,2022-12-23,2023-03-30,17,32,true,Medium
PR000469,FL00330,CL00298,DevOps,573,completed,2023-09-08,2023-11-23,103,36,1,
PR000470,FL00348,CL00397,Marketing,3735,CANCELLED,2021-07-05,2021-09-22,,34,true,low
PR000471,FL00206,CL00701,Data Science,269516,completed,2021-12-30,2022-02-15,127,11,Yes,
PR000472,FL00027,CL00544,Video,2865,cancelled,2024-05-30,2024-09-17,66,16,No,
PR000473,FL00411,CL00239,Design,3430,cancelled,2022-05-22,2022-05-31,160,17,false,medium
PR000474,FL00032,CL00548,Data Science,2826,disputed,2020-04-09,2020-06-24,111,38,No,medium
PR000475,FL00070,CL00399,Writing,1352,cancelled,2021-07-04,2021-07-25,126,32,True,medium
PR000476,FL00328,CL00562,Design,254,completed,2023-04-12,2023-08-03,12,5,true,High
PR000477,FL00313,CL00762,Web Development,2657,completed,2020-03-24,2020-04-29,18,27,true,
PR000478,FL00268,CL00527,Data Science,2721,disputed,2022-11-30,2023-03-28,165,35,1,Medium
PR000479,FL00430,CL00198,SEO,4329,completed,2020-07-21,2020-11-13,136,5,true,High
PR000480,FL00454,CL00608,Video,2884,cancelled,2021-10-01,2021-11-30,160,,true,Medium
PR000481,FL00348,CL00556,AI/ML,3609,completed,2021-07-12,2021-11-07,19,28,0,High
PR000482,,CL00464,Mobile App,4561,cancelled,2023-07-02,2023-10-04,131,45,true,low
PR000483,FL00108,CL00882,DevOps,4292$,in_progress,2022-04-21,2022-05-24,162,,0,high
PR000484,FL00450,CL00868,DevOps,4745,disputed,2023-01-10,2023-03-24,100,,False,Low
PR000485,FL00068,CL00622,Design,1302,cancelled,2023-02-10,2023-03-07,12,20,No,High
PR000486,FL00315,CL00014,Video,1945,completed,2021-11-23,2022-01-14,85,2,0,low
PR000487,FL00017,CL00899,Marketing,866,cancelled,2022-09-06,2022-12-01,20,19,True,high
PR000488,FL00053,CL00455,Data Science,2743,completed,2021-02-10,TBD,164,28,True,Medium
PR000489,FL00499,CL00422,Writing,2287,completed,2022-05-23,2022-08-03,77,4,true,medium
PR000490,FL00112,CL00375,SEO,1806,completed,2021-12-28,2022-03-19,144,13,true,medium
PR000491,FL00170,CL00180,DevOps,2592,disputed,2020-12-01,2021-03-23,111,1,false,High
PR000492,FL00197,CL00648,SEO,3284,completed,2024-01-29,2024-02-20,109,0,true,Medium
PR000493,FL00341,CL00913,Mobile App,4620,completed,2023-08-15,2023-12-06,66,13,No,
PR000494,FL00066,CL00248,AI/ML,,cancelled,2022-04-09,2022-05-22,148,37,true,Low
PR000495,FL00097,CL00426,Video,,completed,2023-05-13,2023-08-23,9,8,false,High
PR000496,FL00279,CL00913,Web Development,1810,disputed,2022-06-15,2022-08-15,71,7,True,medium
PR000497,FL00126,CL00144,Marketing,2590,in_progress,2022-01-08,2022-03-11,150,22,Yes,medium
PR000498,FL00183,CL00902,AI/ML,1596,IN_PROGRESS,2023-11-04,2024-01-06,1,21,false,High
PR000499,FL00474,CL00549,Writing,3371$,in_progress,2020-10-15,2020-11-14,179,43,false,Medium
PR000500,FL00059,CL00844,Writing,4919,,2022-12-13,2023-02-24,112,32,0,medium
PR000501,FL00052,CL00333,DevOps,2092,completed,2021-10-01,,141,29,Yes,high
PR000502,FL00217,CL00858,,3820,completed,2022-04-12,2022-07-10,46,,True,Low
PR000503,FL00028,CL00932,Data Science,3636,completed,2023-08-18,2023-11-21,104,2,False,High
PR000504,FL00302,CL00758,AI/ML,881,in_progress,2022-05-19,2022-06-26,48,3,true,
PR000505,FL00492,CL00315,AI/ML,718,completed,2024-04-01,2024-05-04,55,38,Yes,high
PR000506,FL00065,CL00625,Design,4200,in_progress,2021-09-03,2021-12-17,150,15,No,high
PR000507,FL00321,CL00637,Design,4792,cancelled,2023-07-28,2023-10-23,95,36,1,low
PR000508,FL00200,CL00427,Data Science,2117,disputed,2022-11-12,2022-11-26,74,17,Yes,low
PR000509,FL00342,CL00418,Design,4697,cancelled,2023-12-02,2024-03-06,100,37,False,High
PR000510,FL00081,CL00230,SEO,3527,completed,2024-03-05,2024-05-31,106,25,true,High
PR000511,FL00303,CL00882,Design,4575,disputed,2020-06-07,2020-08-06,,13,Yes,Low
PR000512,FL00086,CL00982,Web Development,2343,cancelled,2023-06-10,2023-08-10,74,12,1,low
PR000513,FL00166,CL00304,Writing,4836,disputed,2020-12-02,2021-01-27,151,,Yes,medium
PR000514,FL00434,CL00393,Mobile App,999,completed,,2023-10-05,56,38,False,low
PR000515,FL00180,CL00749,AI/ML,260424,disputed,2021-05-20,2021-08-07,124,13,1,medium
PR000516,FL00145,CL00978,Web Development,4568,disputed,2021-06-27,2021-07-15,73,45,False,
PR000517,FL00160,CL00428,Data Science,416,completed,2022-12-20,2023-03-08,64,7,false,High
PR000518,FL00381,CL00077,Marketing,2239,completed,2020-05-02,2020-06-04,140,5,No,Low
PR000519,FL00453,CL00597,Mobile App,1050,completed,2020-10-03,2021-01-18,134,41,False,Low
PR000520,FL00274,CL00077,SEO,2550,completed,2020-10-06,2020-12-14,155,35,False,Low
PR000521,FL00256,CL00294,Writing,1010,disputed,2022-02-15,2022-03-09,,38,true,low
PR000522,FL00281,CL00509,Writing,,completed,2021-10-23,2021-11-21,150,45,0,low
PR000523,FL00145,CL00606,DevOps,4997,completed,2020-04-29,2020-05-09,130,9,true,low
PR000524,FL00045,CL00376,,,COMPLETED,2024-04-06,2024-07-05,29,0,Yes,medium
PR000525,FL00493,CL00797,Video,,completed,2024-05-31,2024-09-04,26,34,No,low
PR000526,FL00257,CL00186,Mobile App,,completed,2021-04-14,2021-05-09,152,,False,Low
PR000527,FL00284,CL00722,Writing,1048,completed,2022-02-02,2022-06-02,114,10,true,Low
PR000528,FL00224,CL00476,Writing,3044$,IN_PROGRESS,2023-02-13,2023-02-25,85,4,true,medium
PR000529,FL00049,CL00644,Writing,4652$,in_progress,2022-07-19,TBD,57,31,True,high
PR000530,FL00238,CL00677,DevOps,1045,disputed,2020-10-25,2020-11-13,82,35,0,low
PR000531,FL00304,CL00917,AI/ML,270,cancelled,2024-04-04,2024-05-16,156,,False,
PR000532,FL00170,CL00916,Video,2013,in_progress,2024-03-28,2024-05-08,,22,True,medium
PR000533,FL00246,CL00276,Video,1416,disputed,2023-06-09,TBD,73,15,1,Medium
PR000534,FL00263,CL00114,Web Development,2343,completed,2022-07-19,2022-10-24,150,24,No,medium
PR000535,FL00008,CL00219,Data Science,3122,in_progress,2020-05-05,2020-06-11,164,8,false,Low
PR000536,FL00467,CL00454,Data Science,3313,completed,,2024-02-08,46,22,true,low
PR000537,FL00108,CL00770,,140,in_progress,2021-03-29,2021-04-21,2,2,True,Low
PR000538,FL00330,CL00064,,1948,in_progress,2023-05-22,2023-07-30,97,43,No,Low
PR000539,FL00189,CL00637,Marketing,,completed,2024-01-29,2024-04-02,22,41,No,medium
PR000540,FL00146,CL00014,Marketing,3713,disputed,2021-08-12,2021-12-04,172,31,Yes,high
PR000541,FL00030,CL00028,Marketing,3957,disputed,2024-04-04,2024-06-03,,8,False,low
PR000542,FL00281,CL00252,SEO,379881,in_progress,2023-07-19,2023-09-18,133,41,Yes,Medium
PR000543,,CL00030,Mobile App,1347,cancelled,2021-09-30,2021-10-31,63,4,1,low
PR000544,FL00338,CL00774,DevOps,3212,cancelled,2021-03-03,2021-03-26,88,33,False,Low
PR000545,FL00342,CL00189,Web Development,2992,completed,2023-12-05,2024-02-04,81,14,false,low
PR000546,FL00188,CL00452,Video,3261,cancelled,2022-08-19,2022-10-17,79,8,Yes,medium
PR000547,FL00291,CL00056,Video,4473,completed,2020-08-12,2020-09-06,,28,false,High
PR000548,FL00138,CL00673,Data Science,4814$,completed,2021-09-08,2021-11-09,180,,0,low
PR000549,FL00238,CL00025,Data Science,4357,completed,2023-11-30,2024-02-28,37,12,true,high
PR000550,FL00291,CL00013,Writing,3333,in_progress,2022-03-30,2022-07-13,29,8,true,Low
PR000551,FL00431,CL00837,Web Development,4343,completed,2022-10-27,2022-12-07,6,32,Yes,low
PR000552,FL00327,CL00622,Mobile App,3222,,2021-11-18,2022-02-14,14,12,0,Low
PR000553,FL00477,CL00113,Design,107,completed,2020-08-09,2020-09-27,135,36,True,High
PR000554,FL00035,CL00916,Web Development,2327,completed,2020-05-10,2020-06-30,123,20,True,
PR000555,FL00328,CL00113,Web Development,3403,cancelled,2021-10-12,2021-12-06,169,38,false,low
PR000556,FL00224,CL00433,Mobile App,4326,in_progress,2022-05-18,2022-09-04,51,4,True,high
PR000557,FL00015,CL00660,Marketing,4493,completed,2022-02-06,2022-03-09,64,37,true,High
PR000558,FL00205,CL00339,Data Science,4048,completed,2023-02-19,2023-03-03,2,32,true,low
PR000559,FL00387,CL00654,Video,4688,disputed,2021-03-30,2021-05-08,,34,false,Low
PR000560,FL00289,CL00569,SEO,165,disputed,2022-07-24,2022-11-05,129,20,No,high
PR000561,FL00200,CL00150,Design,365904,completed,2020-01-18,2020-03-21,14,42,No,low
PR000562,FL00317,CL00374,Video,4848,cancelled,2023-07-16,2023-09-21,97,15,1,
PR000563,FL00366,CL00374,Marketing,2406,completed,2023-10-13,2023-12-07,160,,1,low
PR000564,FL00216,CL00930,Web Development,2840$,in_progress,2023-08-04,,,25,false,high
PR000565,FL00240,CL00513,Marketing,4657,completed,2021-03-27,2021-05-13,65,45,Yes,high
PR000566,FL00146,CL00837,Design,287,completed,2020-07-06,2020-09-14,43,31,1,
PR000567,FL00018,CL00765,Data Science,255061$,DISPUTED,2020-04-11,2020-04-29,30,41,True,high
PR000568,FL00102,CL00781,Design,,disputed,,2021-05-14,151,35,False,
PR000569,FL00482,CL00972,Writing,4455,completed,2020-12-21,2021-03-05,160,3,false,high
PR000570,FL00218,CL00026,Mobile App,3520,in_progress,2020-12-14,2021-02-27,147,29,1,low
PR000571,FL00447,CL00698,Marketing,1904,completed,2020-06-29,2020-07-10,159,8,False,high
PR000572,FL00342,CL00030,Video,3986,in_progress,2024-02-11,2024-06-07,33,34,false,low
PR000573,FL00222,CL00901,DevOps,3028,completed,2020-06-28,2020-10-06,177,36,false,low
PR000574,FL00044,CL00617,Video,2761,COMPLETED,2021-01-18,2021-04-05,28,21,No,low
PR000575,FL00166,CL00935,AI/ML,3214,completed,2020-02-21,2020-05-08,113,24,false,medium
PR000576,FL00422,CL00546,Data Science,2987,in_progress,2021-12-19,2022-04-07,2,11,true,medium
